objectID,manual_recluster_cluster,manual_recluster_k,manual_recluster_label,source_manual_groups,feature_version
3469,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
9336,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
15595,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
37540,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
39590,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
39609,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42192,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42212,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42213,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42216,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42222,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42228,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42246,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42247,1,3,blue_green_combined,"[""celadon"",""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42268,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42285,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42293,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42301,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42308,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42413,1,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42414,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42416,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42432,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42447,1,3,blue_green_combined,"[""celadon"",""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42468,1,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42476,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42477,1,3,blue_green_combined,"[""blue_green_family"",""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42479,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42486,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42510,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
42740,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45844,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45882,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45904,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45915,1,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45919,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45929,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45938,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45986,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
45992,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46016,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46024,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46025,2,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46029,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46044,0,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46055,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46068,2,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46071,1,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46077,0,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46081,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46124,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46130,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46150,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46165,0,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46331,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46353,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46517,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46519,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46527,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46530,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46535,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46537,1,3,blue_green_combined,"[""celadon"",""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46544,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46546,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46548,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46557,1,3,blue_green_combined,"[""celadon"",""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46614,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46620,2,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46623,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46634,1,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46654,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46667,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46712,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46809,1,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46830,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46865,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46871,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46913,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46916,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46918,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46919,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46920,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46921,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46923,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46927,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46929,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46930,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46938,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46941,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46943,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46946,0,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46947,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46953,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46955,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46956,1,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46957,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46959,0,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46961,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46962,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46965,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46979,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
46989,0,3,blue_green_combined,"[""green""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47072,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47157,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47290,2,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47295,2,3,blue_green_combined,"[""blue""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47305,2,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47373,2,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47375,2,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47401,1,3,blue_green_combined,"[""celadon""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47412,1,3,blue_green_combined,"[""blue_green_family""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
47434,0,3,blue_green_combined,"[""cyan""]",lab_slots_ab_hist_rel_v2_manual_recluster_k3
